"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"Saint Lucia"," Male","13.5","13.6","10.8","6.1","10.9"
"Saint Lucia"," Female","2.2","2.2","1.6","0.0","2.1"
"Saint Vincent and the Grenadines"," Both sexes","2.4","2.7","3.3","9.9","6.3"
"Saint Vincent and the Grenadines"," Male","3.9","4.4","6.0","16.7","11.5"
"Saint Vincent and the Grenadines"," Female","0.9","1.0","0.6","2.9","0.9"
"Samoa"," Both sexes","4.4","4.5","5.0","6.5","8.3"
"Samoa"," Male","6.7","6.8","7.8","10.0","12.6"
"Samoa"," Female","1.9","1.9","2.1","2.7","3.6"
"Sao Tome and Principe"," Both sexes","2.3","2.3","2.0","1.8","2.0"
"Sao Tome and Principe"," Male","3.0","3.0","2.7","2.4","2.7"
"Sao Tome and Principe"," Female","1.6","1.5","1.4","1.2","1.3"
"Saudi Arabia"," Both sexes","3.2","3.2","3.4","3.0","2.8"
"Saudi Arabia"," Male","4.5","4.4","5.0","4.4","4.2"
"Saudi Arabia"," Female","1.5","1.5","1.4","1.2","1.1"
"Senegal"," Both sexes","6.0","6.2","6.9","8.1","7.7"
"Senegal"," Male","9.3","9.6","10.4","12.0","11.4"
"Senegal"," Female","2.9","3.0","3.6","4.3","4.1"
"Serbia"," Both sexes","15.6","15.0","15.9","18.8","21.0"
"Serbia"," Male","23.5","22.3","23.9","26.8","29.8"
"Serbia"," Female","8.1","8.1","8.2","11.2","12.5"
"Seychelles"," Both sexes","9.3","9.4","9.4","9.1","8.7"
"Seychelles"," Male","16.4","16.5","15.9","15.8","15.0"
"Seychelles"," Female","2.4","2.5","2.5","2.5","2.5"
"Sierra Leone"," Both sexes","9.7","9.3","9.2","10.4","11.1"
"Sierra Leone"," Male","11.3","10.8","10.8","12.7","13.2"
"Sierra Leone"," Female","8.1","7.9","7.7","8.2","9.1"
"Singapore"," Both sexes","9.9","9.0","10.0","11.6","12.4"
"Singapore"," Male","13.8","12.1","13.0","15.7","16.2"
"Singapore"," Female","6.1","6.1","7.0","7.6","8.7"
"Slovakia"," Both sexes","12.8","12.8","13.9","13.8","14.4"
"Slovakia"," Male","22.7","22.6","24.4","24.3","24.2"
"Slovakia"," Female","3.5","3.5","3.9","3.9","5.1"
"Slovenia"," Both sexes","18.6","21.0","20.7","27.1","32.4"
"Slovenia"," Male","30.4","33.3","34.0","42.9","48.0"
"Slovenia"," Female","6.9","8.9","7.6","12.0","17.6"
"Solomon Islands"," Both sexes","4.7","4.9","5.8","7.6","11.2"
"Solomon Islands"," Male","6.8","7.0","8.0","10.3","14.5"
"Solomon Islands"," Female","2.6","2.7","3.4","4.8","7.7"
"Somalia"," Both sexes","4.7","4.7","4.3","4.8","4.7"
"Somalia"," Male","6.3","6.3","5.7","6.5","6.2"
"Somalia"," Female","3.1","3.1","2.9","3.2","3.2"
"South Africa"," Both sexes","11.6","11.8","12.2","11.8","11.6"
"South Africa"," Male","18.7","19.0","19.2","18.2","17.7"
"South Africa"," Female","4.7","4.8","5.4","5.6","5.7"
"South Sudan"," Both sexes","3.7","3.7","4.1","4.6","4.8"
"South Sudan"," Male","4.9","4.7","5.4","6.1","6.3"
"South Sudan"," Female","2.6","2.6","2.8","3.1","3.2"
"Spain"," Both sexes","8.7","8.1","7.0","8.1","8.6"
"Spain"," Male","13.1","12.0","10.9","12.2","13.1"
"Spain"," Female","4.5","4.3","3.2","4.2","4.3"
"Sri Lanka"," Both sexes","14.6","14.8","19.1","23.1","28.8"
"Sri Lanka"," Male","23.5","24.0","30.4","37.0","44.5"
"Sri Lanka"," Female","6.4","6.2","8.3","9.6","13.2"
"Sudan"," Both sexes","8.1","8.0","8.0","8.4","7.9"
"Sudan"," Male","12.2","12.1","11.9","12.7","12.0"
"Sudan"," Female","4.0","4.0","4.0","4.1","3.8"
"Suriname"," Both sexes","22.8","23.8","27.0","26.5","23.5"
"Suriname"," Male","34.7","36.3","40.9","42.1","36.4"
"Suriname"," Female","10.9","11.3","13.0","10.7","10.4"
"Sweden"," Both sexes","14.8","15.7","15.3","16.4","15.6"
"Sweden"," Male","19.1","20.9","21.0","21.6","20.5"
"Sweden"," Female","10.5","10.5","9.5","11.2","10.8"
"Switzerland"," Both sexes","17.2","17.1","16.2","20.8","21.8"
"Switzerland"," Male","22.0","22.0","21.1","27.0","29.7"
"Switzerland"," Female","12.4","12.3","11.4","14.8","14.2"
"Syrian Arab Republic"," Both sexes","1.9","1.9","1.9","1.6","1.3"
"Syrian Arab Republic"," Male","2.9","2.9","3.0","2.5","2.1"
"Syrian Arab Republic"," Female","0.9","0.9","0.8","0.6","0.6"
"Tajikistan"," Both sexes","2.5","2.5","2.5","2.9","3.0"
"Tajikistan"," Male","3.7","3.7","3.6","4.2","4.3"
"Tajikistan"," Female","1.3","1.3","1.3","1.6","1.6"
"Thailand"," Both sexes","14.4","14.6","14.3","12.7","16.2"
"Thailand"," Male","23.4","23.6","22.6","19.4","24.2"
"Thailand"," Female","5.9","5.9","6.4","6.2","8.4"
"Republic of North Macedonia"," Both sexes","7.9","7.8","5.9","7.2","7.7"
"Republic of North Macedonia"," Male","11.9","11.7","8.4","10.4","10.7"
"Republic of North Macedonia"," Female","3.9","3.9","3.4","4.0","4.6"
"Timor-Leste"," Both sexes","4.6","4.6","5.3","6.2","9.3"
"Timor-Leste"," Male","6.2","6.2","7.3","8.3","12.7"
"Timor-Leste"," Female","2.9","2.9","3.3","4.0","5.9"
"Togo"," Both sexes","9.6","9.4","9.5","9.9","9.6"
"Togo"," Male","12.8","12.5","12.9","13.3","12.8"
"Togo"," Female","6.4","6.2","6.2","6.6","6.5"
"Tonga"," Both sexes","3.5","3.5","3.6","3.4","3.6"
"Tonga"," Male","4.3","4.2","4.3","4.0","3.9"
"Tonga"," Female","2.7","2.7","2.8","2.9","3.3"
"Trinidad and Tobago"," Both sexes","13.6","13.6","14.5","12.3","14.9"
"Trinidad and Tobago"," Male","23.0","22.9","23.6","19.4","23.3"
"Trinidad and Tobago"," Female","4.5","4.5","5.6","5.4","6.5"
"Tunisia"," Both sexes","3.4","3.4","3.6","3.6","3.5"
"Tunisia"," Male","4.4","4.5","5.0","5.1","4.9"
"Tunisia"," Female","2.3","2.3","2.3","2.2","2.1"
"Turkey"," Both sexes","7.3","7.3","8.4","7.6","7.2"
"Turkey"," Male","11.4","11.4","13.1","12.2","11.5"
"Turkey"," Female","3.3","3.4","3.8","3.2","2.9"
"Turkmenistan"," Both sexes","6.7","7.2","7.6","11.7","9.1"
"Turkmenistan"," Male","10.1","10.8","11.7","18.8","14.6"
"Turkmenistan"," Female","3.5","3.6","3.7","4.8","3.7"
"Uganda"," Both sexes","9.9","9.9","10.5","10.5","11.1"
"Uganda"," Male","10.7","10.6","10.6","10.6","11.0"
"Uganda"," Female","9.1","9.3","10.4","10.4","11.3"
"Ukraine"," Both sexes","22.4","23.1","27.1","34.5","36.9"
"Ukraine"," Male","41.1","42.0","48.9","62.0","65.1"
"Ukraine"," Female","6.3","6.8","8.4","10.7","12.3"
"United Arab Emirates"," Both sexes","2.8","2.8","3.0","3.1","3.2"
"United Arab Emirates"," Male","3.6","3.6","3.8","4.1","4.2"
"United Arab Emirates"," Female","0.7","0.7","0.7","1.0","1.1"
"United Kingdom of Great Britain and Northern Ireland"," Both sexes","8.9","8.7","7.8","8.2","9.1"
"United Kingdom of Great Britain and Northern Ireland"," Male","13.5","13.1","11.9","12.0","13.7"
"United Kingdom of Great Britain and Northern Ireland"," Female","4.4","4.5","3.9","4.5","4.8"
"United Republic of Tanzania"," Both sexes","5.4","5.4","5.3","5.5","6.9"
"United Republic of Tanzania"," Male","7.7","7.6","7.5","7.9","10.0"
"United Republic of Tanzania"," Female","3.2","3.2","3.1","3.2","3.8"
"United States of America"," Both sexes","15.3","15.0","13.2","11.9","11.3"
"United States of America"," Male","23.6","23.0","20.7","18.6","17.9"
"United States of America"," Female","7.2","7.1","5.9","5.4","4.9"
"Uruguay"," Both sexes","18.4","19.4","16.6","15.3","17.4"
"Uruguay"," Male","29.2","31.4","26.3","24.2","29.4"
"Uruguay"," Female","8.3","8.2","7.5","7.0","6.1"
"Uzbekistan"," Both sexes","7.4","7.4","6.0","5.8","7.6"
"Uzbekistan"," Male","9.9","10.0","8.3","8.9","11.3"
"Uzbekistan"," Female","4.8","4.8","3.6","2.8","4.0"
"Vanuatu"," Both sexes","4.5","4.5","5.1","5.7","7.3"
"Vanuatu"," Male","6.6","6.8","7.5","8.3","10.2"
"Vanuatu"," Female","2.2","2.3","2.6","3.0","4.3"
"Venezuela (Bolivarian Republic of)"," Both sexes","3.7","3.8","4.3","5.9","8.0"
"Venezuela (Bolivarian Republic of)"," Male","6.3","6.4","7.2","9.7","13.8"
"Venezuela (Bolivarian Republic of)"," Female","1.1","1.2","1.5","2.1","2.2"
"Viet Nam"," Both sexes","7.3","7.2","7.0","6.7","6.7"
"Viet Nam"," Male","10.9","10.8","10.5","10.1","10.0"
"Viet Nam"," Female","3.7","3.7","3.6","3.5","3.6"
"Yemen"," Both sexes","8.5","8.6","8.8","8.1","6.8"
"Yemen"," Male","11.3","11.4","11.8","11.0","9.2"
"Yemen"," Female","5.6","5.7","5.7","5.1","4.2"
"Zambia"," Both sexes","6.1","6.1","6.3","6.5","8.1"
"Zambia"," Male","8.8","8.7","9.0","9.3","11.8"
"Zambia"," Female","3.5","3.5","3.6","3.8","4.6"
"Zimbabwe"," Both sexes","10.7","10.6","11.9","13.9","12.9"
"Zimbabwe"," Male","15.7","15.5","18.1","21.7","20.6"
"Zimbabwe"," Female","6.0","6.0","6.1","6.4","5.5"
